Sample,DCAA (mg/L),TCAA (ug/L),BCAA(mg/L),HAA5 (ug/L),HAA9 (ug/L),Temp,pH ,UVA254(cm),Cl2 (mg/L),NO2 -N (mg/L),DOC (mg/L),NH4-N (ug/L),Br (ug/L)
1,6.4,5.92,0.65,13.66,15.89,24.1,7.24,0.032,0.06,4.28,1.83,4.38,6.05
2,5.7,4.39,0.78,10.09,11.16,8.5,7.18,0.02,0.15,0,0.93,29.65,2.85
3,5.03,3.2,0.84,8.23,9.29,9,7.11,0.019,0.28,0,0.96,32.35,2.62
4,5.28,3.92,0.72,9.2,10.19,10.8,7.05,0.016,0.24,0.3,0.88,33.69,2.54
5,3.99,2.82,0.55,6.81,7.36,19,6.99,0.008,0.14,0.86,0.75,27.48,2.38
6,4.3,3.38,0.57,7.73,8.3,20,7.02,0.016,0.09,1.71,0.76,29.6,3.38
7,4.24,2.95,0.61,7.19,7.79,18.5,6.92,0.007,0.14,1.14,0.53,30.66,1.75
8,4.76,5.04,0.88,10.56,12.39,23.5,7.23,0.008,0.17,0.91,1.22,2.19,5.64
9,4.86,6.04,1.11,12.2,14.59,21.8,7.71,0.019,0.2,1.21,1.12,6.56,20.64
10,5.06,3.96,0.91,9.9,11.96,23,7.31,0.013,0.28,0.91,1.07,9.84,6.7
11,4.81,3.31,0.82,8.12,9.22,12,7,0.009,0.36,0,0.61,33.69,2.15
12,4.9,3.87,0.89,8.77,9.95,10.5,7.07,0.013,0.28,0.61,0.5,29.65,1.15
13,4.88,3.37,0.88,8.24,9.4,13.5,7.08,0.011,0.36,0.3,0.61,26.95,1.23
14,3.72,1.95,0.67,5.67,6.33,16,7.37,0.001,0.4,0.57,0.07,26.43,2
15,3.44,1.78,0.62,5.22,5.84,17,7.16,0.002,0.43,0.57,0.03,14.8,2.13
16,4.35,2.6,0.87,7.87,9.35,24.8,7.32,0.02,0.33,1.82,0.8,0,2.86
17,5.42,4.36,0.87,9.78,11.08,11.5,7.23,0.015,0.11,0,0.6,22.91,1.31
18,5.84,4.63,1.05,10.47,12.01,12,6.99,0.017,1.04,0,0.59,32.35,1.23
19,3.39,2.96,0.86,6.35,7.28,17,7.43,0.005,0.31,0.86,0.14,17.97,1.75
20,3.22,1.74,0.82,4.96,5.77,15.2,7.45,0.005,0.33,0.86,0.08,29.6,2.5
21,7.8,6.02,1.23,13.9,15.25,17.8,7.13,0.005,1.51,0.86,0.2,8.46,1.75
22,16.84,18.11,1.02,36.46,38.48,24.2,7.3,0.038,0.4,1.8,2.02,6.51,3.9
23,15.61,17.58,0.8,33.19,34.53,7,7.26,0.035,0.05,0.3,1.54,21.56,3.08
24,15.75,14.21,1.43,30.19,32.2,9,7.18,0.022,0.24,0,1.1,6.74,1.77
25,11.8,9.01,0.82,20.93,21.76,18.9,6.85,0.016,0.5,0.86,1.03,10.57,2.06
26,17.9,7.77,1.29,25.74,27.11,14.1,7.07,0.01,0.54,1.43,0.52,7.4,1.75
27,11.49,13.44,0.98,26.27,29.16,24.9,7.45,0.03,0.28,2.12,1.32,4.37,5.14
28,12.1,13.09,1.26,26.43,29.16,24.6,7.28,0.029,0.4,1.52,1.73,2.19,4.5
29,10.26,11.58,1.05,21.84,23.45,10,7,0.028,0.19,0.3,1.03,24.26,3.54
30,12.28,9.2,1.42,21.79,23.3,16.1,7.26,0.011,0.31,0.57,0.97,23.26,2.75
31,11.44,12.75,1.07,25.78,28.02,24.4,7.51,0.03,0.46,1.52,2.14,5.46,4.21
32,8.5,10.4,1.61,19.97,24.1,24.5,7.44,0.024,0.02,1.52,1.41,1.09,10.71
33,10.41,9.41,1.34,19.82,21.66,12,7.11,0.025,0.24,0.61,1.48,31,3.69
34,12.44,9.9,2.16,22.35,25.38,12,7.07,0.023,0.45,0.3,0.85,1.35,3.23
35,10.74,10.86,2.16,21.8,24.97,13,7.13,0.019,0.4,0,0.88,26.95,2.46
36,8.08,4.87,1.64,13.27,14.92,17,7.12,0.015,0.47,0.57,1.22,27.48,3.13
37,7.43,5.58,0.98,13.62,14.61,15.8,7.15,0.01,0.54,0.86,0.79,3.17,1.5
38,9.37,7.72,1.5,17.09,18.72,18.1,7.21,0.009,0.17,1.14,0.67,25.37,3.63
39,9.28,10.87,1.07,21.3,23.74,24.6,7.61,0.029,0.08,2.76,1.01,8.78,5.4
40,11.16,7.46,3,18.92,22.86,12.5,7.36,0.028,0.5,0.3,1.55,29.65,1.23
41,6.86,6.34,0.91,13.2,14.46,11,7.2,0.019,0.31,0,0.86,24.26,1.23
42,6.93,7.13,0.88,14.05,15.36,10.5,7.23,0.022,0.09,0,0.94,20.22,2.92
43,5.02,3.98,1.5,9.06,10.75,18.5,7.27,0.014,0.05,1.43,1.2,25.37,5.5
44,7.94,4.06,1.42,12.06,13.48,15.2,7.3,0.008,0.38,1.14,0.55,23.26,1.63
45,8.02,4.22,1.45,12.31,13.84,15.5,7.31,0.008,0.38,1.71,0.73,19.03,2.06
46,7.84,7.37,0.89,16.36,18.02,25.2,7.26,0.031,0.29,1.83,0.96,0,4.89
47,8.72,7.14,0.87,15.86,16.98,10,7.1,0.021,0.57,0,0.75,13.48,1.23
48,8.21,7.23,1.01,15.43,16.75,5,6.93,0.018,0.5,0.3,0.7,10.78,1.15
