Dataset,Experiment,Arm,Seed,Train R2,Val R2,Test R2,Test MSE,Test MAE,Test R2 DCAA (mg/L),Test R2 TCAA (ug/L),Test R2 BCAA(mg/L),Test R2 HAA5 (ug/L),Test R2 HAA9 (ug/L),Params,Test R2 DCAA,Test R2 TCAA,Test R2 HAA5,Test R2 TTHM
original,module,full,42,0.3843667303173096,0.35125419049714257,0.04832841073854577,0.5620146822485828,0.5951944766697161,0.0359438440914569,0.17129507496410812,0.03913866332719973,-0.011469156691495064,0.006733628001459047,177466.0,,,,
original,module,no_attention,42,0.9470189134047725,0.7126948878382491,0.23579184462718503,0.5109487771546026,0.4299050667937756,0.2807103331417984,0.4540969434543767,-0.3540787147107993,0.41516219285272227,0.3830684683978265,166661.0,,,,
original,module,no_chemistry,42,0.9596667716729362,0.6548811136739794,0.27459376373138716,0.4760822420702306,0.4177736705871811,0.34308891221383087,0.3926516635262982,-0.23745215011988718,0.43122810707101333,0.4434522859656804,163914.0,,,,
original,module,no_interaction,42,0.29410722040283044,0.37513345792495273,0.04960508422316059,0.5646284287376273,0.6003575936281693,-0.03620543034230295,0.1550346853612632,0.040347910908067774,-0.007066176502239285,0.09591443169101399,156986.0,,,,
original,module,no_grouping,42,0.7392315438873774,0.36677537407478816,0.2765761324873431,0.4331667834767499,0.49278872145756497,0.23757859389441893,0.4081853579230681,0.23652350087116192,0.22237458545532718,0.27821862429273914,100214.0,,,,
original,module,random_grouping,42,0.38778683221067806,0.3642355581857154,0.1316117765364632,0.5250687013329277,0.5724769650273236,0.05103072937433095,0.3135370926194164,0.06012303636591765,0.10998387280979127,0.12338415151285953,177466.0,,,,
original,module,no_hier_loss,42,0.3676821784909457,0.33863718130223575,0.04892836901079276,0.5625548416368064,0.6018932512596381,0.00974444029877608,0.10316295748449333,0.029768889731016213,0.08791139045630991,0.014054167083367708,177466.0,,,,
original,module,multitask_mlp,42,0.8226778380586388,0.40267155243028807,0.2675676111181768,0.4457337650753635,0.46010843695599285,0.2533021547612464,0.2772792926848534,0.11169367611600256,0.3649557658720024,0.3306071661567792,5061.0,,,,
original,module,full,123,0.6140707857464233,0.40710225110085096,0.053937092332642364,0.5833877539080028,0.5517392990754358,-0.047620612611301016,0.08529888873406954,0.05394260836657161,0.008677509847184295,0.16938706732668685,177466.0,,,,
original,module,no_attention,123,0.6113718670041264,0.32274810330848547,-0.06818688845566175,0.6621415507175978,0.5698353996485801,-0.028265552429333374,-0.06914987196333455,-0.010194708018859355,-0.09084443291433031,-0.14247987695245157,166661.0,,,,
original,module,no_chemistry,123,0.5928057485343606,0.48437207068672905,0.13248819238319937,0.5357157561978532,0.5197185079064508,0.010735885427599623,0.15299598055250263,0.08511896872422542,0.21458435149754185,0.1990057757141276,163914.0,,,,
original,module,no_interaction,123,0.7015960628199502,0.4139721461148909,0.1862061709296971,0.5019226595511145,0.5281295438684473,0.04046077562209538,0.1727328837974178,0.15324045716382673,0.25585154149963985,0.30874519656550525,156986.0,,,,
original,module,no_grouping,123,0.5102577967812076,0.21115164963251648,-0.07981539714537293,0.670312285784386,0.5976868410445036,0.058618708718730095,-0.07358800661590581,-0.01794131853771397,-0.19098731209026276,-0.17517905720171245,100214.0,,,,
original,module,random_grouping,123,0.6215447067267709,0.4628629908906713,0.09866012988895112,0.5555216870088191,0.534737416398826,0.018527545386932576,0.1655200775703004,0.10432865942586711,0.0059212600843639995,0.1990031069772913,177466.0,,,,
original,module,no_hier_loss,123,0.6046441023430728,0.40918932277714487,0.043083001785566274,0.5897400915368685,0.5497856219009636,-0.09375160614372846,0.07530401332774961,0.06778706488419639,0.027127454856476607,0.13894808200313724,177466.0,,,,
original,module,multitask_mlp,123,0.6276408385280204,0.3444503374176889,0.11699506441306065,0.5441766952056911,0.5378953289354168,-0.008752021828723144,0.26146413859333995,0.05246124964192711,0.1273539094200441,0.15244804623871566,5061.0,,,,
original,module,full,456,0.6267544927500648,0.3030082261838129,0.509156316674137,0.46522662987589686,0.5324675946509594,0.5786588029085523,0.6146770000576793,0.162524485184811,0.5931688660615121,0.59675242915813,177466.0,,,,
original,module,no_attention,456,0.5409810573762961,0.11479217817607075,0.46436649475883307,0.509978460703117,0.5536701345941708,0.5046485806487024,0.5661385995936963,0.06958854107254964,0.5936265206317515,0.5878302318474655,166661.0,,,,
original,module,no_chemistry,456,0.5961216308892994,0.22998074516710504,0.45598870140329045,0.5084212253405223,0.5492600576956251,0.5532092389257139,0.5473145319227808,0.12595157065975604,0.5582909298185159,0.49517723568968564,163914.0,,,,
original,module,no_interaction,456,0.6039841480637024,0.3162482488721486,0.4221650052655548,0.5304047869409696,0.5643975017182988,0.4032306597290064,0.5682815211630834,0.15750827225434572,0.4648669068057443,0.5169376663755947,156986.0,,,,
original,module,no_grouping,456,0.5619162871609422,0.11274402966763448,0.4701952460741552,0.5052521855668151,0.5710576531321209,0.5457473746437523,0.6209775036040579,0.07259404430454286,0.4964064152147827,0.6152508926036404,100214.0,,,,
original,module,random_grouping,456,0.5473191191056407,0.02878547152064952,0.4104475313512679,0.550754464561063,0.5656403652607451,0.435920106350526,0.5599551722471658,0.06263186036397017,0.48267022934266623,0.511060288452011,177466.0,,,,
original,module,no_hier_loss,456,0.6133745352162954,0.3025771506380407,0.5049284324255255,0.4699316047538461,0.5290198805458016,0.5695491969102531,0.5990134719325171,0.14846770304257784,0.5861384805321117,0.6214733097101683,177466.0,,,,
original,module,multitask_mlp,456,0.5876019672347781,0.29714833796624174,0.41424294893151997,0.5450905512861534,0.588488367516541,0.4435898397003787,0.4628647791912093,0.0756746016676123,0.5195887677547902,0.5694967563436091,5061.0,,,,
original,module,full,789,0.8924639782082535,0.4808334502001392,0.3517202582796206,0.82146532686732,0.5053556766794001,0.4418647105481892,0.3751915414273068,0.040902538658901144,0.4173896239514817,0.48325287681222395,177466.0,,,,
original,module,no_attention,789,0.5744292516929012,0.11794174603050012,0.30689753302551426,0.8524907227692117,0.6080830725239676,0.6005957161294533,0.3242448874105349,0.032241963347099833,0.19357322367591678,0.38383187456456624,166661.0,,,,
original,module,no_chemistry,789,0.5970419623922295,0.3017475541811462,0.39048885783251225,0.8052257438484298,0.552308950686739,0.5581100169323416,0.4463699460487036,0.024913202016985214,0.449723074332518,0.4733280498320128,163914.0,,,,
original,module,no_interaction,789,0.5337813925746911,0.16520037189228712,0.21997053344259507,0.9171481331775452,0.6259145871177483,0.32693313394483725,0.23236991124889073,0.007813029526909432,0.23003877232113756,0.3026978201712006,156986.0,,,,
original,module,no_grouping,789,0.3810344647802282,0.1254986063871411,0.36904751347049186,0.8417680390533505,0.6007836585357383,0.5644960220960691,0.4305133907531318,-0.02776131725044584,0.43459990027634054,0.4433895714773639,100214.0,,,,
original,module,random_grouping,789,0.5882789528771375,0.23349797509906445,0.2909842546314928,0.8534707660541873,0.6122522532034967,0.3844023896985532,0.3456344966432444,0.055736076001600354,0.3752061758263948,0.2939421349876713,177466.0,,,,
original,module,no_hier_loss,789,0.9061828770326967,0.5163360092851118,0.35660135466406395,0.8189767567514818,0.49803458550391627,0.4417465870206898,0.3773422093260119,0.03986158661832884,0.43941950282920705,0.4846368875260817,177466.0,,,,
original,module,multitask_mlp,789,0.6037272248796708,0.3932908303814758,0.42642808037962004,0.7737222558938277,0.5575983243971827,0.5580634681857137,0.4706104207513997,0.04571166741736965,0.5146884942748922,0.5430663512687252,5061.0,,,,
original,module,full,1024,0.7115850975751976,0.14000993613843699,0.2512982958668299,0.6587378090803582,0.6701907958191938,0.33176454557738844,0.39750510685629414,-0.30590122519849294,0.41821838076821083,0.4149046713307486,177466.0,,,,
original,module,no_attention,1024,0.7037911443718153,0.06074752713119795,0.31118181705279274,0.6089432104526535,0.6481666576823096,0.40257260118282534,0.4420937766980354,-0.1822889243537369,0.4715299402435239,0.42200169149331557,166661.0,,,,
original,module,no_chemistry,1024,0.5870057796298874,0.6097519637044869,0.3187991421006082,0.6069314342927541,0.5754378340477821,0.45038133968119287,0.4307640306740811,-0.148353748557845,0.4727293502611787,0.3884747384444329,163914.0,,,,
original,module,no_interaction,1024,0.6166207438910674,0.1003293330455812,0.2017366518120177,0.7114199294256537,0.6620907797757376,0.1706940826506339,0.42827977338763923,-0.20926462194815953,0.28884651892053137,0.3301275060494433,156986.0,,,,
original,module,no_grouping,1024,0.47943484454380386,0.20343764447101717,0.21208497954817068,0.7417452637183043,0.6593110998550238,0.21767101290723723,0.14617919751616737,0.11229796180426432,0.24334155641790434,0.3409351690952799,100214.0,,,,
