Dataset,Experiment,Arm,N_seeds,Test R2 Mean,Test R2 Std,Delta R2 vs base,p_value_paired_t
ontario,feature,remove_Cl2,10,0.5746558003943477,0.0825634989511917,0.0019086360246766132,0.9478373929189701
ontario,feature,baseline_all_features,10,0.5727471643696711,0.09271728394116072,,
ontario,feature,remove_NH4-N,10,0.5667154146825247,0.08365149144770395,-0.0060317496871463705,0.6311639802492974
ontario,feature,remove_Temp,10,0.5625751303323934,0.08970086109877613,-0.010172034037277733,0.45021059230606075
ontario,feature,remove_NO2-N,10,0.5602896371678714,0.0886214976736585,-0.012457527201799712,0.3922872680497277
ontario,feature,remove_Br,10,0.549038742450342,0.0795265640186287,-0.023708421919329092,0.11015600062792842
ontario,feature,remove_pH,10,0.5160863291621697,0.07086210385164443,-0.056660835207501425,0.013988848101758784
ontario,feature,remove_DOC,10,0.2615366485920929,0.0777488389493608,-0.3112105157775782,9.556196079381376e-07
ontario,module,no_hier_loss,10,0.5727987421063516,0.09397000959247957,5.157773668051924e-05,0.9666085486459988
ontario,module,full,10,0.5727471643696711,0.09271728394116072,,
ontario,module,random_grouping,10,0.5659577305284673,0.08046209914282196,-0.006789433841203785,0.6428068710770987
ontario,module,no_interaction,10,0.5654011491280431,0.07695868190579486,-0.007346015241628034,0.7012965967905909
ontario,module,no_chemistry,10,0.5645584207342873,0.09233564508681154,-0.0081887436353838,0.25242737145298083
ontario,module,no_attention,10,0.5538130199390426,0.08378166944386418,-0.018934144430628463,0.06791607636730437
ontario,module,no_grouping,10,0.5244596957439824,0.06711374297942142,-0.04828746862568867,0.12729316661757795
ontario,module,multitask_mlp,10,0.49996876673195023,0.09369946387433131,-0.07277839763772087,0.0899717142899946
original,feature,remove_Br,10,0.29552211966652425,0.14893017077188062,0.007094272220253273,0.8104862031201139
original,feature,remove_Cl2,10,0.29212989155637503,0.1631308754400046,0.0037020441101040524,0.9326565916173717
original,feature,baseline_all_features,10,0.288427847446271,0.18677190412373823,,
original,feature,remove_pH,10,0.262991734188308,0.15483558941575443,-0.025436113257962967,0.4126011512050852
original,feature,remove_Temp,10,0.22258867041960176,0.20697935661648734,-0.06583917702666922,0.03870738956150846
original,feature,remove_NH4-N,10,0.21641943876940423,0.18688604886166987,-0.07200840867686675,0.03821398620160313
original,feature,remove_NO2-N,10,0.21438997909215812,0.29551168653200144,-0.07403786835411286,0.22382831384624277
original,feature,remove_UVA254,10,0.10053951274297228,0.3073824316925317,-0.1878883347032987,0.010327825244803078
original,feature,remove_DOC,10,0.07787092024099526,0.21170531079842048,-0.21055692720527572,0.0002680640144528107
original,minimal_sensors,explainable_minimal,10,0.18915613793405597,0.13417739978457788,,
original,minimal_sensors,svr_minimal,10,0.13817135185776602,0.20776775719767815,,
original,module,no_chemistry,10,0.32877630103695094,0.13242335935567862,0.040348453590679956,0.21324671556249106
original,module,multitask_mlp,10,0.32147885868550363,0.15470159999810018,0.03305101123923265,0.30502924104831386
original,module,no_interaction,10,0.2899967343230369,0.14016538209479387,0.0015688868767659292,0.9605264060261905
original,module,full,10,0.288427847446271,0.18677190412373823,,
original,module,no_hier_loss,10,0.28326421177861993,0.1783120895260372,-0.005163635667651045,0.6347310064606285
original,module,no_grouping,10,0.25267381808388534,0.2363429461223334,-0.03575402936238564,0.3833627355173277
original,module,no_attention,10,0.2288112673572092,0.2348114687684925,-0.05961658008906179,0.22774391536151842
original,module,random_grouping,10,0.21100077264478562,0.27872363484672913,-0.07742707480148536,0.18263029554704122
