Dataset,Seed,Lambda,Train R2,Val R2,Test R2,Test MSE,Test MAE,Test R2 DCAA (mg/L),Test R2 TCAA (ug/L),Test R2 BCAA(mg/L),Test R2 HAA5 (ug/L),Test R2 HAA9 (ug/L),Params,viol_haa5,viol_haa9,viol_nonneg,Test R2 DCAA,Test R2 TCAA,Test R2 HAA5,Test R2 TTHM
original,42,0.0,0.3676821784909457,0.33863718130223575,0.04892836901079276,0.5625548416368064,0.6018932512596381,0.00974444029877608,0.10316295748449333,0.029768889731016213,0.08791139045630991,0.014054167083367708,177466,1.0,0.0,0.0,,,,
original,42,0.01,0.3678272255785172,0.33945552130204387,0.046077323819321815,0.5638272883898995,0.602865026035173,0.01836846429281258,0.12518273941215197,0.03020053331824024,0.04739719075476423,0.009237691318639607,177466,0.800000011920929,0.0,0.0,,,,
original,42,0.05,0.3623908376688309,0.3411293681309956,0.04049170126682398,0.5662999135139446,0.6051553572349382,0.026913311622267844,0.15034223322548013,0.03141534574142413,-0.011053686526331541,0.004841302271279435,177466,0.30000001192092896,0.0,0.0,,,,
original,42,0.1,0.3843667303173096,0.35125419049714257,0.04832841073854577,0.5620146822485828,0.5951944766697161,0.0359438440914569,0.17129507496410812,0.03913866332719973,-0.011469156691495064,0.006733628001459047,177466,0.05000000074505806,0.0,0.0,,,,
original,42,0.5,0.9366753231201204,0.5916130718583295,0.2632516597442869,0.4828162316832524,0.42685346248458256,0.2997858679220613,0.42296307268607836,-0.22065897030125092,0.40311442171741674,0.41105390669712893,177466,0.0,0.0,0.0,,,,
original,42,1.0,0.9325705139083951,0.5782965453930669,0.24058664408434433,0.49524626372172564,0.43760451187626687,0.29398074142716624,0.40256024033895266,-0.24320467834771575,0.37977530993646047,0.36982160706685796,177466,0.0,0.0,0.0,,,,
original,123,0.0,0.6046441023430728,0.40918932277714487,0.043083001785566274,0.5897400915368685,0.5497856219009636,-0.09375160614372846,0.07530401332774961,0.06778706488419639,0.027127454856476607,0.13894808200313724,177466,0.550000011920929,0.20000000298023224,0.0,,,,
original,123,0.01,0.6043685601969722,0.40750004677648466,0.0458818518613574,0.5879459496191,0.5488726285741803,-0.08652466072348486,0.08824265417181942,0.06707867399693801,0.018436025499957598,0.14217656636155696,177466,0.3499999940395355,0.30000001192092896,0.0,,,,
original,123,0.05,0.6237742091940113,0.40332614472831274,0.07198098603542635,0.5725235232293713,0.5498913611755404,-0.024103619215849692,0.10334777673412276,0.05401493947577718,0.04632386558241475,0.18032196760066643,177466,0.10000000149011612,0.20000000298023224,0.0,,,,
original,123,0.1,0.6140707857464233,0.40710225110085096,0.053937092332642364,0.5833877539080028,0.5517392990754358,-0.047620612611301016,0.08529888873406954,0.05394260836657161,0.008677509847184295,0.16938706732668685,177466,0.0,0.20000000298023224,0.0,,,,
original,123,0.5,0.6017168034105509,0.3988421149055363,0.08485158176314597,0.5657541351760607,0.5526634959014844,0.07401550872037321,0.14256985609710893,0.060715373360416325,0.020982898502556302,0.12597427213527512,177466,0.0,0.0,0.0,,,,
original,123,1.0,0.6422997225950914,0.35097906708075693,0.10492943575393306,0.5549822310440464,0.5675655302230849,0.15456435383660505,0.12386020962152922,-0.04295729093311018,0.08170707963953205,0.20747282660510913,177466,0.05000000074505806,0.20000000298023224,0.0,,,,
original,456,0.0,0.6133745352162954,0.3025771506380407,0.5049284324255255,0.4699316047538461,0.5290198805458016,0.5695491969102531,0.5990134719325171,0.14846770304257784,0.5861384805321117,0.6214733097101683,177466,0.800000011920929,0.3499999940395355,0.0,,,,
original,456,0.01,0.6123664963288972,0.3005316435365923,0.5015457258345707,0.47238385678406114,0.5312069558999606,0.5670524611682444,0.5981870512151843,0.14857036563137183,0.5752324980280956,0.618686253129958,177466,0.699999988079071,0.25,0.0,,,,
original,456,0.05,0.6292784216453926,0.31072273336016365,0.5154317503318941,0.4603384350318628,0.5265297367776614,0.5871545474450567,0.6136695089363536,0.16422609566014423,0.605378627637338,0.6067299719805777,177466,0.699999988079071,0.10000000149011612,0.0,,,,
original,456,0.1,0.6267544927500648,0.3030082261838129,0.509156316674137,0.46522662987589686,0.5324675946509594,0.5786588029085523,0.6146770000576793,0.162524485184811,0.5931688660615121,0.59675242915813,177466,0.4000000059604645,0.0,0.0,,,,
original,456,0.5,0.619331200360401,0.24885513066113188,0.4829801704312371,0.4837775591359355,0.549143901891717,0.5748566185958288,0.6137892808617427,0.16874482329531948,0.5599364781942184,0.49757365120907626,177466,0.0,0.0,0.0,,,,
original,456,1.0,0.556710332981671,0.18650036441607556,0.39567928444040384,0.5529352573399291,0.5861746981354343,0.4951418577546548,0.5584856814595553,0.1241841056833134,0.34452430230642817,0.45606047499806746,177466,0.0,0.05000000074505806,0.0,,,,
original,789,0.0,0.9061828770326967,0.5163360092851118,0.35660135466406395,0.8189767567514818,0.49803458550391627,0.4417465870206898,0.3773422093260119,0.03986158661832884,0.43941950282920705,0.4846368875260817,177466,0.949999988079071,0.0,0.0,,,,
original,789,0.01,0.9562120975337056,0.5195825813815924,0.3791517705599185,0.8008992686559395,0.479152689075545,0.4882893684629058,0.3951333128804877,0.04929213112607744,0.4590368194756075,0.5040072208545143,177466,0.949999988079071,0.0,0.0,,,,
original,789,0.05,0.9282769254128811,0.496205786720368,0.36258299053019216,0.8022482943710252,0.4924171382788665,0.468873596298209,0.3691984056858888,0.0690984676736367,0.4239921163469036,0.4817523666463228,177466,0.8999999761581421,0.0,0.0,,,,
original,789,0.1,0.8924639782082535,0.4808334502001392,0.3517202582796206,0.82146532686732,0.5053556766794001,0.4418647105481892,0.3751915414273068,0.040902538658901144,0.4173896239514817,0.48325287681222395,177466,0.0,0.0,0.0,,,,
original,789,0.5,0.9191395883083879,0.5271859478528471,0.3739695781147744,0.8183468176525533,0.5061236648403371,0.46653909427495766,0.3982623998662944,0.017198073560562466,0.4791638096988593,0.5086845131731981,177466,0.0,0.05000000074505806,0.0,,,,
original,789,1.0,0.9083048374999956,0.5211550199393458,0.3633361484368376,0.8313698592384821,0.5160120542177299,0.47132037016728834,0.4007816547143621,0.0028277737854395246,0.4547866487258917,0.4869642947912063,177466,0.10000000149011612,0.0,0.0,,,,
original,1024,0.0,0.7196509896272085,0.16815963647362459,0.2344439330818319,0.6749052955693717,0.6698403011291617,0.2882707910755514,0.386406487197254,-0.30469801197613133,0.4088830092392073,0.3933573898732775,177466,0.699999988079071,0.0,0.05000000074505806,,,,
original,1024,0.01,0.7176354783680757,0.17415077681737293,0.2345249970872744,0.6730339536250662,0.6705981180473561,0.29958026387581405,0.39240437951444584,-0.3278927752317884,0.41144957824453676,0.3970835390333628,177466,0.6000000238418579,0.0,0.05000000074505806,,,,
original,1024,0.05,0.7210111848189461,0.15019100559710657,0.23825832179018577,0.6701833486551838,0.6658577098726625,0.3088643666550729,0.3955759146782746,-0.31988257892087324,0.399942573970242,0.40679133256821254,177466,0.25,0.05000000074505806,0.05000000074505806,,,,
original,1024,0.1,0.7115850975751976,0.14000993613843699,0.2512982958668299,0.6587378090803582,0.6701907958191938,0.33176454557738844,0.39750510685629414,-0.30590122519849294,0.41821838076821083,0.4149046713307486,177466,0.10000000149011612,0.15000000596046448,0.05000000074505806,,,,
original,1024,0.5,0.6456020333608359,0.2002698081720844,0.27952914523217565,0.6306894817328859,0.6529108572305619,0.3794131573184226,0.39717390746305203,-0.3103724017548979,0.4803464114176377,0.4510846517166631,177466,0.05000000074505806,0.0,0.05000000074505806,,,,
original,1024,1.0,0.5801106530508899,0.4076902277978192,0.2843386081548477,0.6289522970661658,0.6418122885455396,0.39170590422918117,0.4500154649501453,-0.2649513863218389,0.4367474624947899,0.4081755954219606,177466,0.05000000074505806,0.0,0.05000000074505806,,,,
original,2025,0.0,0.9899769430033409,0.3237122916295587,0.3591999160804459,0.2640348798707137,0.3863453384875922,0.4172997313265536,0.4805535827976136,-0.09811462996289255,0.4974434564786526,0.49881743976230253,177466,1.0,0.0,0.0,,,,
original,2025,0.01,0.9883572616049172,0.341358992798199,0.329093057089365,0.2763414374477604,0.4025818443565773,0.40042467410689486,0.4752294807890751,-0.147153864213726,0.4501042717010697,0.46686072306351156,177466,1.0,0.0,0.0,,,,
original,2025,0.05,0.9889728832393618,0.3129701661762653,0.3457722760280955,0.26942977817789693,0.3898561905639218,0.4431592706766623,0.49394586726101386,-0.13192521494993348,0.4411379098691419,0.4825435472835934,177466,0.4000000059604645,0.0,0.0,,,,
original,2025,0.1,0.7961744985443046,0.2732036117597787,0.29796913982689804,0.29064035236103236,0.42526683593302816,0.39026742138463677,0.5031321414653189,-0.27831706127097844,0.42118506037554604,0.4535781371799673,177466,0.3499999940395355,0.0,0.0,,,,
original,2025,0.5,0.7772438425537739,0.2897617217919142,0.2849888838073457,0.2962268396452245,0.43652174964366985,0.3853759155675526,0.5184849525658674,-0.31137918088300176,0.40516557913297824,0.42729715265333235,177466,0.0,0.0,0.0,,,,
original,2025,1.0,0.9316490707737966,0.29420265318054933,0.36894404604925074,0.2610725669851627,0.40394665502182353,0.48038204168194387,0.5842217528002709,-0.1482120160639917,0.4618020233398742,0.46652642848815706,177466,0.0,0.0,0.0,,,,
original,3407,0.0,0.7903474401823454,0.2628786464906227,0.022653233785627468,1.138802793714707,0.6769637570583515,0.12304704063262828,-0.10207672556912462,0.12148195611712032,0.008271194763382561,-0.03745729701586864,177466,0.8999999761581421,0.0,0.0,,,,
original,3407,0.01,0.7915263598699066,0.2673287131474454,0.02871160435046034,1.133064816756646,0.6762913316777623,0.12257716359756654,-0.0944385426563703,0.12490014936795901,0.01016742426638162,-0.019648172823234722,177466,0.8999999761581421,0.0,0.0,,,,
original,3407,0.05,0.7883566022574564,0.26696143512264003,0.02537936385237156,1.1338786227908864,0.6801751162728796,0.1071614591590555,-0.08433134111860796,0.1269298689973919,-0.003364479486396066,-0.019498688289585342,177466,0.5,0.0,0.0,,,,
original,3407,0.1,0.7840168395329311,0.25429871760773126,0.01929990783602966,1.1379150743809932,0.6876420025234926,0.08537845808144395,-0.08434615437658288,0.1267013725886159,0.004163813533297089,-0.035397950646625986,177466,0.20000000298023224,0.0,0.0,,,,
original,3407,0.5,0.733661569407501,0.2925620154630417,0.09517129336231282,1.1045403195599248,0.6840336985191368,0.1812491955718557,0.026043173788579232,0.10686187549509218,-0.00605651202308799,0.16775873397912477,177466,0.10000000149011612,0.0,0.0,,,,
original,3407,1.0,0.644465035425493,0.2653198885874743,0.1524476263996733,1.0840054556573167,0.6726064432628265,0.24806427203603054,0.18162857128136423,0.08611417989406744,0.1079215466872917,0.13850956209961274,177466,0.05000000074505806,0.0,0.0,,,,
original,5555,0.0,0.6328962468152982,0.6952201893256955,0.5020043626148057,0.5492085634487388,0.5770419335686162,0.5314152445249434,0.6384132917750458,0.09166424222411274,0.6334624227765666,0.6150666117733605,177466,0.800000011920929,0.05000000074505806,0.0,,,,
original,5555,0.01,0.6334289265949214,0.7035177299269331,0.5017300485182322,0.5500709892454884,0.577323967834207,0.5290468245813211,0.6331384100169006,0.09512289951255404,0.637069887803094,0.6142722206772915,177466,0.75,0.05000000074505806,0.0,,,,
original,5555,0.05,0.631232950733684,0.6874007353251619,0.49446796730728265,0.5591308317930576,0.5880277724089499,0.5269301281661138,0.6127187363278648,0.08581305685901675,0.6289368300304921,0.617941085152926,177466,0.6499999761581421,0.0,0.05000000074505806,,,,
original,5555,0.1,0.7908757294272736,0.6988675656755671,0.5779775200490175,0.47387212265242856,0.5190159555829492,0.6278158317383145,0.6250755048433463,0.2699751228359518,0.6951843267673146,0.6718368140601604,177466,0.25,0.05000000074505806,0.05000000074505806,,,,
original,5555,0.5,0.7623412601093713,0.71507204102613,0.5520274999930136,0.5056779385349682,0.5355715580251402,0.5484111743324414,0.5965857452691745,0.26226989079026597,0.6812553155762252,0.6716153739969608,177466,0.0,0.0,0.05000000074505806,,,,
original,5555,1.0,0.7317506932607286,0.6884508024360986,0.5394722779242963,0.5226361336253855,0.5462160709040413,0.5368914954722046,0.5487461418757401,0.2563541560448154,0.6791379454819139,0.6762316507468082,177466,0.0,0.0,0.0,,,,
