Dataset,Lambda,Test R2 mean,Test R2 std,Test R2 DCAA (mg/L) mean,Test R2 DCAA (mg/L) std,Test R2 TCAA (ug/L) mean,Test R2 TCAA (ug/L) std,Test R2 BCAA(mg/L) mean,Test R2 BCAA(mg/L) std,Test R2 HAA5 (ug/L) mean,Test R2 HAA5 (ug/L) std,Test R2 HAA9 (ug/L) mean,Test R2 HAA9 (ug/L) std,viol_haa5 mean,viol_haa5 std,viol_haa9 mean,viol_haa9 std,viol_nonneg mean,viol_nonneg std,Test R2 DCAA mean,Test R2 DCAA std,Test R2 TCAA mean,Test R2 TCAA std,Test R2 HAA5 mean,Test R2 HAA5 std,Test R2 TTHM mean,Test R2 TTHM std
ontario,0.0,0.5727987421063516,0.09905308735336879,,,,,,,,,,,0.1509433940052986,0.15760960655775655,,,0.062264151871204376,0.045396434469210746,0.5746938923363171,0.11828204827136654,0.5618243529054843,0.09187385246481432,0.629019398308333,0.11042791777671836,0.5256573248752722,0.10158337215007064
ontario,0.01,0.5723933135770439,0.09832039854545797,,,,,,,,,,,0.12641509473323823,0.1403657485133033,,,0.062264151871204376,0.04176593198307532,0.5743196967272631,0.11803104247095472,0.5610723105038821,0.0903203760204907,0.6291159653438887,0.109601935102406,0.5250652817331417,0.1007448418550869
ontario,0.05,0.5728347713869145,0.09841567279960266,,,,,,,,,,,0.06603773683309555,0.12268182071571891,,,0.06037735939025879,0.03957769297353288,0.573865670987962,0.11684386372807913,0.5623100088922499,0.08930641936365241,0.6301120621797347,0.11032251856520028,0.5250513434877112,0.10079710187731623
ontario,0.1,0.572747164369671,0.09773259857287366,,,,,,,,,,,0.0584905669093132,0.11440664914194662,,,0.06603773683309555,0.037997000483163484,0.5724352158956304,0.11382446927638737,0.5631353899686491,0.0882562303722242,0.6303695201001361,0.11004408792977777,0.5250485315142683,0.10103874763463476
ontario,0.5,0.550274599128479,0.0891953044224981,,,,,,,,,,,0.030188679695129395,0.07764175895323393,,,0.04528301954269409,0.03997546872667638,0.5606755393054843,0.10394743897114088,0.5418304195058712,0.08660980442925252,0.6047193158082911,0.10324233619998517,0.4938731218942693,0.09144358550969371
ontario,1.0,0.5386019407938876,0.11025305808199015,,,,,,,,,,,0.02075471729040146,0.059299872915451635,,,0.03396226465702057,0.04339166935265,0.5604876881580408,0.10429990531348259,0.5335520886682302,0.09354048440638668,0.5924532475707152,0.12272823206188653,0.4679147387785636,0.14492357551450388
original,0.0,0.28326421177861993,0.18795744574871046,0.3229098804753291,0.2411665874504314,0.3343899831775766,0.23964363104213887,0.007327098701771917,0.13192138846474596,0.36956803810087235,0.23790812999607278,0.3821260584375499,0.2495703800765156,0.825,0.14191154838258016,0.0649999998509884,0.11796892121915205,0.005000000074505806,0.015811388536449943,,,,,,,,
original,0.01,0.2833847593237614,0.1870976330687954,0.3276500773493218,0.24120142677495654,0.33960266620251256,0.23427266326414337,0.0016630842606340402,0.14364627050073578,0.36442882562091833,0.24380115120024504,0.38357914318542063,0.2467423068142052,0.7499999970197677,0.18708286615269526,0.06500000134110451,0.11316163737382876,0.005000000074505806,0.015811388536449943,,,,,,,,
original,0.05,0.28481109048072106,0.18456478404253102,0.33452425807368036,0.23174674563545408,0.33953783326806186,0.22898921900667396,0.0062636932610722566,0.14104368482249474,0.3578111562936451,0.2515224976849174,0.38591851150714584,0.2418866985017297,0.46499999538064,0.2345799931365458,0.04000000059604645,0.06582805984135284,0.010000000149011612,0.021081851381933255,,,,,,,,
original,0.1,0.288427847446271,0.1968748733192026,0.3356907431739254,0.2433630297676459,0.3434988710336274,0.23151686555001458,0.010164386346340015,0.18004766185358342,0.36355533376874444,0.2655353346957748,0.38922990290871773,0.2525206498342768,0.19000000171363354,0.1559914535427331,0.045000001043081286,0.07245688541046763,0.010000000149011612,0.021081851381933255,,,,,,,,
original,0.5,0.31394039505922733,0.14974263105415367,0.3626703318134934,0.17405800942169675,0.3775615197741105,0.19384627562891482,-0.018022845140870214,0.20033649379633942,0.4086660097296745,0.2260158235607714,0.4388269591197284,0.1721761083127134,0.04000000096857548,0.0567646228677209,0.015000000223517418,0.03374742838840351,0.010000000149011612,0.021081851381933255,,,,,,,,
original,1.0,0.3100057759613274,0.13048703791183056,0.36583649252317973,0.17046926774685417,0.3737283505966091,0.192939740148696,-0.015562884313862624,0.1665432058424959,0.39342490148679843,0.18159444619195483,0.4326020195139127,0.16239403411958897,0.04000000096857548,0.05163977960063522,0.030000000447034835,0.06324555414579977,0.005000000074505806,0.015811388536449943,,,,,,,,
