Dataset,Seed,Fraction,N_train,Model,Test R2
ontario,42,0.3,37,Random Forest,0.4951769268240006
ontario,42,0.3,37,Support Vector Regression,0.5582355494480715
ontario,42,0.3,37,XGBoost,0.5058821438625735
ontario,42,0.3,37,Explainable Model,0.4966765618070061
ontario,42,0.45,55,Random Forest,0.601437526328613
ontario,42,0.45,55,Support Vector Regression,0.6365793903716014
ontario,42,0.45,55,XGBoost,0.4973625962637622
ontario,42,0.45,55,Explainable Model,0.6597940321667131
ontario,42,0.6,73,Random Forest,0.6150970311732323
ontario,42,0.6,73,Support Vector Regression,0.692145359044591
ontario,42,0.6,73,XGBoost,0.6550650783447456
ontario,42,0.6,73,Explainable Model,0.6913993942299022
ontario,42,0.75,92,Random Forest,0.6371249003749976
ontario,42,0.75,92,Support Vector Regression,0.6362036209640494
ontario,42,0.75,92,XGBoost,0.6072162521603478
ontario,42,0.75,92,Explainable Model,0.6354187218562918
ontario,42,0.9,110,Random Forest,0.5739553984925676
ontario,42,0.9,110,Support Vector Regression,0.6422839802432883
ontario,42,0.9,110,XGBoost,0.6170941454302588
ontario,42,0.9,110,Explainable Model,0.6652851890390133
ontario,42,1.0,122,Random Forest,0.6290408523524422
ontario,42,1.0,122,Support Vector Regression,0.6516408161313714
ontario,42,1.0,122,XGBoost,0.6679282344676591
ontario,42,1.0,122,Explainable Model,0.6593190885709195
ontario,123,0.3,37,Random Forest,0.5033410554306577
ontario,123,0.3,37,Support Vector Regression,0.5376838791953453
ontario,123,0.3,37,XGBoost,0.3360365286962013
ontario,123,0.3,37,Explainable Model,0.5804239606120966
ontario,123,0.45,55,Random Forest,0.6171072797539446
ontario,123,0.45,55,Support Vector Regression,0.6731664329902974
ontario,123,0.45,55,XGBoost,0.441477335919809
ontario,123,0.45,55,Explainable Model,0.5263944762545094
ontario,123,0.6,73,Random Forest,0.5457373566326098
ontario,123,0.6,73,Support Vector Regression,0.6380121996194565
ontario,123,0.6,73,XGBoost,0.44635025238060344
ontario,123,0.6,73,Explainable Model,0.6793236220715564
ontario,123,0.75,92,Random Forest,0.7192502477541194
ontario,123,0.75,92,Support Vector Regression,0.5427800010509086
ontario,123,0.75,92,XGBoost,0.39707109853681855
ontario,123,0.75,92,Explainable Model,0.68872911681141
ontario,123,0.9,110,Random Forest,0.6347715941129716
ontario,123,0.9,110,Support Vector Regression,0.6760449476384635
ontario,123,0.9,110,XGBoost,0.641820725576245
ontario,123,0.9,110,Explainable Model,0.7132959252162954
ontario,123,1.0,122,Random Forest,0.6588912130981746
ontario,123,1.0,122,Support Vector Regression,0.5772983178412273
ontario,123,1.0,122,XGBoost,0.630244318891314
ontario,123,1.0,122,Explainable Model,0.7288518990575856
ontario,456,0.3,37,Random Forest,0.3987328164369185
ontario,456,0.3,37,Support Vector Regression,0.059179394184575185
ontario,456,0.3,37,XGBoost,0.522702562055195
ontario,456,0.3,37,Explainable Model,0.48037963396717065
ontario,456,0.45,55,Random Forest,0.33405590638084615
ontario,456,0.45,55,Support Vector Regression,0.4195059751630531
ontario,456,0.45,55,XGBoost,0.35317701890003755
ontario,456,0.45,55,Explainable Model,0.3482095372609655
ontario,456,0.6,73,Random Forest,0.5517275239099642
ontario,456,0.6,73,Support Vector Regression,0.45502550887288845
ontario,456,0.6,73,XGBoost,0.5367597233522827
ontario,456,0.6,73,Explainable Model,0.5327499382696437
ontario,456,0.75,92,Random Forest,0.5288740625101519
ontario,456,0.75,92,Support Vector Regression,0.5250515427401461
ontario,456,0.75,92,XGBoost,0.5947681393866282
ontario,456,0.75,92,Explainable Model,0.5817334225636726
ontario,456,0.9,110,Random Forest,0.5495109858167646
ontario,456,0.9,110,Support Vector Regression,0.5414036069838201
ontario,456,0.9,110,XGBoost,0.5756931815009914
ontario,456,0.9,110,Explainable Model,0.6754226777836396
ontario,456,1.0,122,Random Forest,0.5038816703928406
ontario,456,1.0,122,Support Vector Regression,0.54264349967254
ontario,456,1.0,122,XGBoost,0.5266630790598059
ontario,456,1.0,122,Explainable Model,0.5453121760796936
ontario,789,0.3,37,Random Forest,0.5768908295939998
ontario,789,0.3,37,Support Vector Regression,0.41355313100511837
ontario,789,0.3,37,XGBoost,0.5031159456365624
ontario,789,0.3,37,Explainable Model,0.5938292902340933
ontario,789,0.45,55,Random Forest,0.588615091452521
ontario,789,0.45,55,Support Vector Regression,0.3718667223953984
ontario,789,0.45,55,XGBoost,0.35112533837433857
ontario,789,0.45,55,Explainable Model,0.38328169233090886
ontario,789,0.6,73,Random Forest,0.5363901828300103
ontario,789,0.6,73,Support Vector Regression,0.20501012110268263
ontario,789,0.6,73,XGBoost,0.3309988297377017
ontario,789,0.6,73,Explainable Model,0.6129782876725358
ontario,789,0.75,92,Random Forest,0.6369502410762103
ontario,789,0.75,92,Support Vector Regression,0.46638527675000235
ontario,789,0.75,92,XGBoost,0.515855662871997
