Dataset,Model,Fraction,N_train,R2_mean,R2_std
ontario,Explainable Model,0.3,37.0,0.4527171469266289,0.1495727477235359
ontario,Explainable Model,0.45,55.0,0.4824439438989813,0.1233083348453518
ontario,Explainable Model,0.6,73.0,0.5220367589193085,0.15756590744401666
ontario,Explainable Model,0.75,92.0,0.5602568274771602,0.1240151638311236
ontario,Explainable Model,0.9,110.0,0.5586266533828896,0.14693377019837695
ontario,Explainable Model,1.0,122.0,0.5651518312647495,0.11202079287226403
ontario,Random Forest,0.3,37.0,0.491732678947411,0.096759683215767
ontario,Random Forest,0.45,55.0,0.49125007244026075,0.11616747813122466
ontario,Random Forest,0.6,73.0,0.5595018308522499,0.07136863024434077
ontario,Random Forest,0.75,92.0,0.600964170361012,0.06433263763352513
ontario,Random Forest,0.9,110.0,0.5742629740732104,0.061977563207940504
ontario,Random Forest,1.0,122.0,0.5825948050144161,0.06608974860921898
ontario,Support Vector Regression,0.3,37.0,0.41751236995332947,0.18029743776947046
ontario,Support Vector Regression,0.45,55.0,0.45403584044081385,0.2057612585551985
ontario,Support Vector Regression,0.6,73.0,0.5001281643574598,0.13501165142897628
ontario,Support Vector Regression,0.75,92.0,0.5508800162341813,0.0740976535754371
ontario,Support Vector Regression,0.9,110.0,0.5563682440419765,0.11626416885270661
ontario,Support Vector Regression,1.0,122.0,0.5591134672923177,0.06755406879177336
ontario,XGBoost,0.3,37.0,0.43393329928742863,0.12262409183336759
ontario,XGBoost,0.45,55.0,0.40167774609343787,0.08688929929903566
ontario,XGBoost,0.6,73.0,0.4632744747874053,0.13801981853634726
ontario,XGBoost,0.75,92.0,0.5371323227655644,0.06998766446749838
ontario,XGBoost,0.9,110.0,0.5508930813460927,0.11155266963512572
ontario,XGBoost,1.0,122.0,0.5513444686900747,0.10088014843621959
original,Explainable Model,0.3,14.0,-0.029489958522588983,0.3209981530834475
original,Explainable Model,0.45,21.0,0.04541774066058919,0.20971915433056684
original,Explainable Model,0.6,28.0,0.2022885921380154,0.2788687684512334
original,Explainable Model,0.75,34.0,0.21184546060595358,0.20637607474018796
original,Explainable Model,0.9,41.0,0.24416333312267713,0.22758456064429214
original,Explainable Model,1.0,46.0,0.3783905370656451,0.1318743990760453
original,Random Forest,0.3,14.0,-0.0383854201321143,0.2165729160838728
original,Random Forest,0.45,21.0,0.04812912634150614,0.1763845062604748
original,Random Forest,0.6,28.0,0.18409255842945293,0.1878528669128968
original,Random Forest,0.75,34.0,0.0703637433308569,0.3225700953133016
original,Random Forest,0.9,41.0,0.2195209478180952,0.115202361693748
original,Random Forest,1.0,46.0,0.3144506101595645,0.12873053159108186
original,Support Vector Regression,0.3,14.0,0.009489630397128733,0.2409904413857465
original,Support Vector Regression,0.45,21.0,0.1546102505707629,0.1492043839848444
original,Support Vector Regression,0.6,28.0,0.25094368414750284,0.1987467664494739
original,Support Vector Regression,0.75,34.0,0.315063246191502,0.11470301272228592
original,Support Vector Regression,0.9,41.0,0.3119336685370452,0.18642887056433563
original,Support Vector Regression,1.0,46.0,0.4031950189431258,0.09816043445649635
original,XGBoost,0.3,14.0,-0.5209412779401716,0.34714870311436635
original,XGBoost,0.45,21.0,-0.13652728551932106,0.27954979739411384
original,XGBoost,0.6,28.0,-0.18031151835741388,0.33773233213161546
original,XGBoost,0.75,34.0,-0.1539366275959239,0.4390113184285642
original,XGBoost,0.9,41.0,0.12348974849127385,0.1389719208938055
original,XGBoost,1.0,46.0,0.24029700232136988,0.1672643721712626
