Protocol,Model,mean,std,count
chronological,XGBoost,0.664707052182822,0.0,10
chronological,Random Forest,0.6550931063691954,0.006046939292570329,10
chronological,Explainable Model,0.6290516020108884,0.041320880878629986,10
chronological,Multi-task MLP,0.5948535289877415,0.0673027325132767,10
chronological,TabNet,0.5734338536967605,0.08018023441094049,10
chronological,Support Vector Regression,0.56513683442534,0.0,10
group_kfold,Explainable Model,0.5642460762398958,0.1269633469546174,5
group_kfold,Support Vector Regression,0.5632642238133754,0.08583485204110536,5
group_kfold,Random Forest,0.5290072474889056,0.18056699725457426,5
group_kfold,XGBoost,0.45957689551116837,0.22775256439644714,5
group_kfold,Multi-task MLP,0.45074449339420264,0.1578588153499036,5
group_kfold,TabNet,0.41897914570122896,0.23354084252445143,5
random,Random Forest,0.5773000556812622,0.08106014967289918,10
random,Explainable Model,0.572747164369671,0.09773259857287366,10
random,XGBoost,0.5431369032322297,0.10268472235251591,10
random,Support Vector Regression,0.5262249581847694,0.13411400024009762,10
random,TabNet,0.5007626739577575,0.11149286844285455,10
random,Multi-task MLP,0.49996876673195023,0.09876790712651735,10
