,DCAA (mg/L),TCAA (ug/L),BCAA(mg/L),HAA5 (ug/L),HAA9 (ug/L),Temp,pH ,UVA254(cm),Cl2 (mg/L),NO2 -N (mg/L),DOC (mg/L),NH4-N (ug/L),Br (ug/L)
DCAA (mg/L),1.0,0.8888857842700492,0.431015551161998,0.9607771632015398,0.9515667935253611,-0.006708639239882713,-0.044432964180116816,0.5067865864617582,0.11591724369639532,0.01464456661136497,0.5503879582254225,-0.29577801418432575,-0.04442580056672985
TCAA (ug/L),0.8888857842700492,1.0,0.29010427587633997,0.9784775422223635,0.9768708209792638,0.1295629328243757,0.11210424765758631,0.7009322969527765,-0.058993017473996726,0.096236644695749,0.6918276468373583,-0.3517279037434248,0.14450672185899358
BCAA(mg/L),0.431015551161998,0.29010427587633997,1.0,0.35963799509974936,0.4057313201999856,-0.08883718287293121,0.11776627172744923,0.12057561725520821,0.18302240204455075,-0.16746537155103816,0.23240102941291854,0.011115312098743297,0.03269232985454026
HAA5 (ug/L),0.9607771632015398,0.9784775422223635,0.35963799509974936,1.0,0.9968200824879526,0.11447151065438205,0.0735039099827819,0.6459295739339351,0.013505017647014875,0.09930467103952094,0.6710146862418668,-0.36596031518859135,0.09267971844086698
HAA9 (ug/L),0.9515667935253611,0.9768708209792638,0.4057313201999856,0.9968200824879526,1.0,0.14004706198630748,0.10675128050631304,0.6666520919989174,0.0009723124243035659,0.11971826285108497,0.6938536416317315,-0.3847571815448757,0.13113961125954748
Temp,-0.006708639239882713,0.1295629328243757,-0.08883718287293121,0.11447151065438205,0.14004706198630748,1.0,0.5254291845287002,0.27900993140952546,-0.17071940041838798,0.7768936181832709,0.3843944224046469,-0.5784139969794858,0.5174084971438581
pH ,-0.044432964180116816,0.11210424765758631,0.11776627172744923,0.0735039099827819,0.10675128050631304,0.5254291845287002,1.0,0.3124739480419574,-0.2840268622798888,0.3900950203401858,0.267175994379058,-0.3666031187933436,0.4549054615183667
UVA254(cm),0.5067865864617582,0.7009322969527765,0.12057561725520821,0.6459295739339351,0.6666520919989174,0.27900993140952546,0.3124739480419574,1.0,-0.31017727739607415,0.35274435516269076,0.7795061497015319,-0.42169750262886685,0.29289285266448295
Cl2 (mg/L),0.11591724369639532,-0.058993017473996726,0.18302240204455075,0.013505017647014875,0.0009723124243035659,-0.17071940041838798,-0.2840268622798888,-0.31017727739607415,1.0,-0.26582075291416873,-0.29441216531601344,-0.02499382433091491,-0.3484950758613264
NO2 -N (mg/L),0.01464456661136497,0.096236644695749,-0.16746537155103816,0.09930467103952094,0.11971826285108497,0.7768936181832709,0.3900950203401858,0.35274435516269076,-0.26582075291416873,1.0,0.3730254069920469,-0.5045184931337355,0.39892690735918196
DOC (mg/L),0.5503879582254225,0.6918276468373583,0.23240102941291854,0.6710146862418668,0.6938536416317315,0.3843944224046469,0.267175994379058,0.7795061497015319,-0.29441216531601344,0.3730254069920469,1.0,-0.31856410740609803,0.3858338650635592
NH4-N (ug/L),-0.29577801418432575,-0.3517279037434248,0.011115312098743297,-0.36596031518859135,-0.3847571815448757,-0.5784139969794858,-0.3666031187933436,-0.42169750262886685,-0.02499382433091491,-0.5045184931337355,-0.31856410740609803,1.0,-0.37387314407518735
Br (ug/L),-0.04442580056672985,0.14450672185899358,0.03269232985454026,0.09267971844086698,0.13113961125954748,0.5174084971438581,0.4549054615183667,0.29289285266448295,-0.3484950758613264,0.39892690735918196,0.3858338650635592,-0.37387314407518735,1.0
