Feature,Target,Pearson_r,Pearson_p,Spearman_r,Spearman_p,Pearson_Significant,Spearman_Significant
Temp,DCAA (mg/L),-0.0067086392398830125,0.9573650110769559,-0.038424192814820235,0.7593698180044679,False,False
Temp,TCAA (ug/L),0.12956293282437534,0.29980988901755556,0.09399603677210595,0.45283238022661165,False,False
Temp,BCAA(mg/L),-0.0888371828729314,0.47811883310230263,0.016817783036201288,0.8933810302311002,False,False
Temp,HAA5 (ug/L),0.11447151065438177,0.3600784334788185,0.07116828756136269,0.5701383492089229,False,False
Temp,HAA9 (ug/L),0.14004706198630723,0.2620550716084037,0.0962076652291807,0.4422221717300192,False,False
pH ,DCAA (mg/L),-0.04443296418011644,0.7231491914937648,0.03109890828747091,0.8042261791289229,False,False
pH ,TCAA (ug/L),0.11210424765758732,0.3701633582605452,0.13883204606977098,0.26625816242332895,False,False
pH ,BCAA(mg/L),0.11776627172744918,0.346325701029758,0.19880273341884838,0.10954530343648826,False,False
pH ,HAA5 (ug/L),0.07350390998278263,0.5575171344454294,0.11856850392744953,0.34302720520203167,False,False
pH ,HAA9 (ug/L),0.10675128050631384,0.3935912382528324,0.16064455998361785,0.19756015549250291,False,False
UVA254(cm),DCAA (mg/L),0.5067865864617582,1.4117321776679648e-05,0.5136334273296911,1.0309140667698268e-05,True,True
UVA254(cm),TCAA (ug/L),0.7009322969527767,5.643059854778642e-11,0.6713403086984658,6.862519145691305e-10,True,True
UVA254(cm),BCAA(mg/L),0.12057561725520817,0.33486087645881857,0.14248389311069476,0.2537608757647146,False,False
UVA254(cm),HAA5 (ug/L),0.6459295739339349,4.723184034088041e-09,0.6271496951034458,1.7576614275812326e-08,True,True
UVA254(cm),HAA9 (ug/L),0.6666520919989173,9.934381997539569e-10,0.6535976799195484,2.6900288612610707e-09,True,True
Cl2 (mg/L),DCAA (mg/L),0.11591724369639538,0.35400305841424407,0.21906171389191562,0.07719549305314201,False,False
Cl2 (mg/L),TCAA (ug/L),-0.05899301747399672,0.6379874050170273,0.01772446813700617,0.8876692342303054,False,False
Cl2 (mg/L),BCAA(mg/L),0.18302240204455095,0.14131058896297094,0.25344757867276474,0.04004015074049856,False,True
Cl2 (mg/L),HAA5 (ug/L),0.013505017647014951,0.9142940664889402,0.10839176111472898,0.3863200551199296,False,False
Cl2 (mg/L),HAA9 (ug/L),0.0009723124243035948,0.9938179110822453,0.08563163913822383,0.4942024969255384,False,False
NO2 -N (mg/L),DCAA (mg/L),0.014644566611364948,0.9070929821306724,-0.00018894169095239383,0.9987986728499554,False,False
NO2 -N (mg/L),TCAA (ug/L),0.09623664469574905,0.4420840721725264,0.09968036010578571,0.4258457545384329,False,False
NO2 -N (mg/L),BCAA(mg/L),-0.16746537155103822,0.1789438890307542,0.009514137540364936,0.9395638209855627,False,False
NO2 -N (mg/L),HAA5 (ug/L),0.09930467103952087,0.42760056362569926,0.08202168739455584,0.5126479122181848,False,False
NO2 -N (mg/L),HAA9 (ug/L),0.11971826285108501,0.3383341057099143,0.10648025103334939,0.3948002747388867,False,False
DOC (mg/L),DCAA (mg/L),0.5503879582254225,1.6879274361774601e-06,0.5405879463112627,2.792611410972459e-06,True,True
DOC (mg/L),TCAA (ug/L),0.6918276468373583,1.2561653407578094e-10,0.6578417189394455,1.956277112882444e-09,True,True
DOC (mg/L),BCAA(mg/L),0.23240102941291838,0.0604140252012846,0.3259078363740251,0.007575282840726852,False,True
DOC (mg/L),HAA5 (ug/L),0.6710146862418668,7.042640758587922e-10,0.634437120522182,1.0667159453703492e-08,True,True
DOC (mg/L),HAA9 (ug/L),0.6938536416317317,1.0539434578091736e-10,0.6553851674805999,2.3537680698494863e-09,True,True
NH4-N (ug/L),DCAA (mg/L),-0.2957780141843259,0.015899300719841906,-0.26168500073259293,0.033799403166775724,True,True
NH4-N (ug/L),TCAA (ug/L),-0.35172790374342483,0.003779424103407193,-0.36987920904595817,0.002237916693500106,True,True
NH4-N (ug/L),BCAA(mg/L),0.011115312098743094,0.9294168361589079,-0.12604076345975745,0.3132508624241036,False,False
NH4-N (ug/L),HAA5 (ug/L),-0.3659603151885916,0.002512378747912357,-0.3779917660222824,0.001753308662547741,True,True
NH4-N (ug/L),HAA9 (ug/L),-0.3847571815448757,0.0014236241209522652,-0.40242059597126173,0.0008091661506770222,True,True
Br (ug/L),DCAA (mg/L),-0.04442580056672984,0.7231920328998848,0.10464874267973037,0.4030277736742993,False,False
Br (ug/L),TCAA (ug/L),0.14450672185899355,0.24701276607872016,0.3177779150259977,0.009320002345700604,False,True
Br (ug/L),BCAA(mg/L),0.032692329854540216,0.7944096435502364,0.08590052967332173,0.4928425851740733,False,False
Br (ug/L),HAA5 (ug/L),0.09267971844086695,0.4592133916728336,0.2560980904972129,0.037935609576330874,False,True
Br (ug/L),HAA9 (ug/L),0.1311396112595476,0.293916664542081,0.2846283378867154,0.020542745728648587,False,True
