Variable,IQR_Outliers,IQR_Outlier_Percentage,ZScore_Outliers,ZScore_Outlier_Percentage,Q1,Q3,IQR,Lower_Bound,Upper_Bound
DCAA (mg/L),1,1.5151515151515151,0,0.0,5.0225,10.14,5.117500000000001,-2.6537500000000014,17.816250000000004
TCAA (ug/L),3,4.545454545454546,0,0.0,4.0,9.3575,5.3575,-4.036249999999999,17.393749999999997
BCAA(mg/L),5,7.575757575757576,1,1.5151515151515151,0.8625,1.125,0.26249999999999996,0.4687500000000001,1.5187499999999998
HAA5 (ug/L),0,0.0,0,0.0,9.4875,20.505000000000003,11.017500000000002,-7.038750000000004,37.03125000000001
HAA9 (ug/L),0,0.0,0,0.0,11.092500000000001,22.744999999999997,11.652499999999996,-6.386249999999993,40.223749999999995
Temp,0,0.0,0,0.0,12.0,22.7,10.7,-4.049999999999997,38.75
pH ,2,3.0303030303030303,1,1.5151515151515151,7.05,7.295,0.2450000000000001,6.682499999999999,7.6625
UVA254(cm),0,0.0,0,0.0,0.01,0.02725,0.01725,-0.015875,0.053125000000000006
Cl2 (mg/L),2,3.0303030303030303,2,3.0303030303030303,0.17500000000000002,0.4575,0.2825,-0.24874999999999994,0.88125
NO2 -N (mg/L),2,3.0303030303030303,2,3.0303030303030303,0.3,1.52,1.22,-1.53,3.35
DOC (mg/L),3,4.545454545454546,0,0.0,0.61,1.1150000000000002,0.5050000000000002,-0.1475000000000003,1.8725000000000005
NH4-N (ug/L),0,0.0,0,0.0,6.6425,26.95,20.307499999999997,-23.818749999999994,57.411249999999995
Br (ug/L),2,3.0303030303030303,1,1.5151515151515151,1.755,3.8725,2.1175,-1.4212500000000006,7.04875
